symbol,name,shares,purchase_value_jpy,current_value_jpy,currency,account,sector,category
7366.T,LITALICO,300,278213,375000,JPY,主,教育テック,現物株式
AVGO,BROADCOM INC,17,1018104,1071120,JPY,主,AI半導体,外国株式
GOOG,ALPHABET INC-C,43,2036925,2284182,JPY,主,クラウド/広告,外国株式
QCOM,QUALCOMM INC,2,46975,42262,JPY,主,AI半導体,外国株式
TSLA,TESLA INC,1,38271,62249,JPY,主,EV/自動運転,外国株式
NVDA,NVIDIA,67,120389,2116163,JPY,主,AI半導体,外国株式
AMD,AMD,18,689066,737903,JPY,主,AI半導体,外国株式
INTC,Intel Corporation,14,62220,144392,JPY,主,AI半導体,外国株式
6006821,SMAMベトナム株式,1040257,1800000,2238529,JPY,NISA,新興国株式投信,投資信託
6006846,AB米国成長A,983431,3600000,4056456,JPY,NISA,米国成長株投信,投資信託
6006884,ネクストウィン H無,231640,603538,707660,JPY,主,テーマ型投信,投資信託
6016884,ネクストウィン H無 再,1371407,2751709,4189648,JPY,主,テーマ型投信,投資信託
